WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (112.7450068 -7.0306912)",828.0,15.0,Kabupaten Bangkalan,1507.0,2.0,-7.0306912,112.7450068,1.0
"POINT (112.032356 -7.809356)",829.0,15.0,Kabupaten Kediri,1508.0,2.0,-7.809356,112.032356,1.0
"POINT (113.813483 -7.917704)",830.0,15.0,Kabupaten Bondowoso,1509.0,2.0,-7.917704,113.813483,1.0
"POINT (112.162762 -8.1014419)",831.0,15.0,Kabupaten Blitar,1510.0,2.0,-8.1014419,112.162762,1.0
"POINT (111.7166667 -8.05)",832.0,15.0,Kabupaten Trenggalek,1511.0,2.0,-8.05,111.7166667,1.0
"POINT (111.9 -8.0666667)",833.0,15.0,Kabupaten Tulungagung,1512.0,2.0,-8.0666667,111.9,1.0
"POINT (111.901808 -7.602932)",834.0,15.0,Kabupaten Nganjuk,1513.0,2.0,-7.602932,111.901808,1.0
"POINT (113.955605 -7.702534)",835.0,15.0,Kabupaten Situbondo,1514.0,2.0,-7.702534,113.955605,1.0
"POINT (112.6390186 -7.9693262)",836.0,15.0,Kabupaten Malang,1515.0,2.0,-7.9693262,112.6390186,1.0
"POINT (113.700302 -8.172357)",837.0,15.0,Kabupaten Jember,1516.0,2.0,-8.172357,113.700302,1.0
"POINT (113.9060624 -6.9253999)",838.0,15.0,Kabupaten Sumenep,1517.0,2.0,-6.9253999,113.9060624,1.0
"POINT (112.8939889 -7.6594319)",839.0,15.0,Kabupaten Pasuruan,1518.0,2.0,-7.6594319,112.8939889,1.0
"POINT (113.4666667 -7.1666667)",840.0,15.0,Kabupaten Pamekasan,1519.0,2.0,-7.1666667,113.4666667,1.0
"POINT (113.210675 -7.753965)",841.0,15.0,Kabupaten Probolinggo,1520.0,2.0,-7.753965,113.210675,1.0
"POINT (113.226601 -8.137022)",842.0,15.0,Kabupaten Lumajang,1521.0,2.0,-8.137022,113.226601,1.0
"POINT (111.8761512 -7.1334123)",843.0,15.0,Kabupaten Bojonegoro,1522.0,2.0,-7.1334123,111.8761512,1.0
"POINT (112.0455047 -6.9071693)",844.0,15.0,Kabupaten Tuban,1523.0,2.0,-6.9071693,112.0455047,1.0
"POINT (112.4021823 -7.1255143)",845.0,15.0,Kabupaten Lamongan,1524.0,2.0,-7.1255143,112.4021823,1.0
"POINT (112.7173389 -7.4530278)",846.0,15.0,Kabupaten Sidoarjo,1525.0,2.0,-7.4530278,112.7173389,1.0
"POINT (113.2433135 -7.2050745)",847.0,15.0,Kabupaten Sampang,1526.0,2.0,-7.2050745,113.2433135,1.0
"POINT (112.427027 -7.488075)",848.0,15.0,Kabupaten Mojokerto,1527.0,2.0,-7.488075,112.427027,1.0
"POINT (112.6555 -7.15665)",849.0,15.0,Kabupaten Gresik,1528.0,2.0,-7.15665,112.6555,1.0
"POINT (112.2264794 -7.5468395)",850.0,15.0,Kabupaten Jombang,1529.0,2.0,-7.5468395,112.2264794,1.0
"POINT (112.4336111 -7.4722222)",851.0,15.0,Kota Mojokerto,1530.0,2.0,-7.4722222,112.4336111,1.0
"POINT (112.734398 -7.289166)",852.0,15.0,Kota Surabaya,1531.0,2.0,-7.289166,112.734398,1.0
